title,bond
Black Panther ,0
Mad Max: Fury Road ,0
Spider-Man: Into the Spider-Verse ,0
Wonder Woman ,0
Coco ,0
Dunkirk ,0
Star Wars: The Last Jedi ,0
Thor: Ragnarok ,0
Logan ,0
Star Wars: Episode VII - The Force Awakens ,0
Incredibles 2 ,0
Zootopia ,0
War for the Planet of the Apes ,0
Baby Driver ,0
Spider-Man: Homecoming ,0
Captain America: Civil War ,0
Blade Runner 2049 ,0
The Jungle Book ,0
Mission: Impossible Rogue Nation ,0
The Hurt Locker ,0
Avengers: Infinity War ,0
The LEGO Movie ,0
Ant-Man and the Wasp ,0
Moana ,0
Isle of Dogs ,0
Guardians of the Galaxy ,0
Kubo and the Two Strings ,0
Marvel's The Avengers ,0
Hunt for the Wilderpeople ,0
Doctor Strange ,0
True Grit ,0
X-Men: Days of Future Past ,0
The Lego Batman Movie ,0
Dawn Of The Planet Of The Apes ,0
Captain America: The Winter Soldier ,0
Rogue One: A Star Wars Story ,0
Deadpool 2 ,0
Annihilation ,0
The Hunger Games: Catching Fire ,0
How to Train Your Dragon: The Hidden World ,0
Fantastic Mr. Fox ,0
'71 ,0
John Wick: Chapter 2 ,0
Bumblebee ,0
Frozen ,0
Sweet Country ,0
Deadpool ,0
Sully ,0
A Most Violent Year ,0
Star Trek Beyond ,0
How to Train Your Dragon 2 ,0
Rush ,0
Ponyo ,0
Creed II ,0
Teen Titans Go! To the Movies ,0
Upgrade ,0
ParaNorman ,0
X-Men: First Class ,0
Attack the Block ,0
Rango ,0
Hacksaw Ridge ,0
Bone Tomahawk ,0
The Revenant ,0
The Walk ,0
21 Jump Street ,0
Only the Brave ,0
Deepwater Horizon ,0
22 Jump Street ,0
Turbo Kid ,0
Iron Man 3 ,0
The Pirates! Band of Misfits ,0
Ready Player One ,0
Solo: A Star Wars Story ,0
Avengers: Age of Ultron ,0
Mission: Impossible - Fallout ,0
Get Out ,0
A Quiet Place ,0
Arrival ,0
Hell or High Water ,0
Skyfall ,0
Harry Potter and the Deathly Hallows - Part 2 ,0
Nightcrawler ,0
The Post ,0
Eye In The Sky ,0
All Is Lost ,0
Looper ,0
The Cabin in the Woods ,0
Ex Machina ,0
Sicario ,0
Searching ,0
It ,0
10 Cloverfield Lane ,0
Bridge of Spies ,0
Gone Girl ,0
Drive ,0
The Dark Knight Rises ,0
You Were Never Really Here ,0
Mission: Impossible Ghost Protocol ,0
The Imitation Game ,0
Source Code ,0
Mandy ,0
Elle ,0
Hugo ,0
The Town ,0
Mother ,0
Cell 211 ,0
Inception ,0
The Gift ,0
The Guard ,0
99 Homes ,0
Wind River ,0
American Made ,0
Don't Breathe ,0
The Survivalist ,0
The Endless ,0
American Animals ,0
Slow West ,0
Coriolanus ,0
Martha Marcy May Marlene ,0
The Guest ,0
Headhunters ,0
Ant-Man ,0
The Hunger Games ,0
A Bigger Splash ,0
Game Night ,0
Black Swan ,0
Mr. Holmes ,0
Detroit ,0
Atomic Blonde ,0
Brawl in Cell Block 99 ,0
Contagion ,0
Harry Potter and the Half-Blood Prince ,0
Arbitrage ,0
Unstoppable ,0
A Most Wanted Man ,0
Furious 7 ,0
Blood Father ,0
Chronicle ,0
Kong: Skull Island ,0
Buried ,0
The Girl with the Dragon Tattoo ,0
Better Watch Out ,0
Prisoners ,0
Overlord ,0
Los ojos de Julia ,0
The Ghost Writer ,0
Tinker Tailor Soldier Spy ,0
Split ,0
All the Money in the World ,0
Side Effects ,0
Godzilla ,0
Get Low ,0
Captain America: The First Avenger ,0
The Lincoln Lawyer ,0
Farewell ,0
Haywire ,0
Melancholia ,0
The Skin I Live In ,0
The Shallows ,0
Ouija: Origin of Evil ,0
Killer Joe ,0
The Snowtown Murders ,0
Harry Potter and the Deathly Hallows - Part 1 ,0
Nocturnal Animals ,0
Chappaquiddick ,0
Alpha ,0
Kingsman: The Secret Service ,0
You're Next ,0
Black Sea ,0
Bad Times at the El Royale ,0
A Cat in Paris ,0
Fair Game ,0
mother! ,0
No Time to Die,1
Spectre,1
Skyfall,1
Quantum of Solace,1
Die Another Day,1
The World Is Not Enough,1
Tomorrow Never Dies,1
GoldenEye,1
Licence to Kill,1
The Living Daylights,1
A View to a Kill,1
Octopussy,1
Never Say Never Again,1
For Your Eyes Only,1
Moonraker,1
The Spy Who Loved Me,1
The Man With the Golden Gun,1
Live and Let Die,1
Diamonds Are Forever,1
On Her Majesty's Secret Service,1
Casino Royale,1
You Only Live Twice,1
Thunderball,1
Goldfinger,1
From Russia With Love,1
Dr. No,1
